tempo_arduino_us,tempo_relogio_pc,contador,ax,ay,az,gx,gy,gz
10007516.0,366141.6778741,2.0,1.0,-0.0,-0.04,-3.72,0.37,-0.06
10012072.0,366141.680039,3.0,1.0,-0.01,-0.04,-3.6,0.43,0.06
10016612.0,366141.6855911,4.0,1.0,-0.01,-0.05,-3.72,0.12,-0.43
10021180.0,366141.6944901,5.0,1.0,-0.01,-0.04,-3.84,0.3,-0.06
10025720.0,366141.7417608,6.0,1.0,-0.01,-0.04,-3.29,0.3,0.06
10030264.0,366141.7841313,7.0,1.0,-0.01,-0.05,-3.48,0.37,-0.3
10034828.0,366141.8334143,8.0,1.0,0.0,-0.04,-3.35,0.24,-0.37
10039384.0,366141.8378644,9.0,1.01,-0.01,-0.04,-3.72,0.06,-0.3
10043976.0,366141.8876562,10.0,1.01,-0.0,-0.04,-3.66,0.24,-0.43
10048592.0,366141.9390625,11.0,1.0,-0.01,-0.05,-3.66,0.12,-0.37
10053204.0,366141.9815448,12.0,1.0,-0.01,-0.04,-3.6,0.37,-0.3
10057812.0,366142.0687599,13.0,1.0,-0.0,-0.04,-3.41,0.37,-0.55
10062428.0,366142.0706978,14.0,1.0,-0.01,-0.05,-3.66,0.12,-0.49
10067048.0,366142.1620001,15.0,1.0,-0.01,-0.04,-3.41,0.24,-0.43
10071664.0,366142.1800043,16.0,1.01,-0.0,-0.04,-3.72,0.06,-0.06
10076272.0,366142.2617636,17.0,1.0,-0.01,-0.04,-3.54,0.24,-0.12
10080888.0,366142.263659,18.0,1.0,-0.01,-0.04,-3.6,0.12,-0.37
10085508.0,366142.3664859,19.0,1.01,-0.0,-0.04,-3.29,0.12,-0.55
10090116.0,366142.3711702,20.0,1.0,-0.0,-0.04,-3.6,0.12,-0.24
10094724.0,366142.4273567,21.0,1.0,-0.01,-0.04,-3.35,0.12,-0.49
10099340.0,366142.4818554,22.0,1.0,-0.01,-0.04,-3.66,0.12,-0.37
10103960.0,366142.5249083,23.0,1.0,-0.0,-0.04,-3.72,0.18,-0.24
10108564.0,366142.5662975,24.0,1.0,-0.0,-0.04,-3.66,0.24,-0.43
10113184.0,366142.6252512,25.0,1.0,-0.0,-0.04,-3.48,0.18,-0.37
10117792.0,366142.6985646,26.0,1.0,-0.0,-0.04,-3.54,0.12,-0.3
10122404.0,366142.7395073,27.0,1.01,-0.0,-0.04,-3.54,0.18,-0.49
10127016.0,366142.7882816,28.0,1.0,-0.0,-0.05,-3.54,0.37,-0.18
10131628.0,366142.8303383,29.0,1.0,-0.0,-0.04,-3.72,0.3,-0.3
10136224.0,366142.8794669,30.0,1.0,-0.0,-0.04,-3.41,0.43,-0.3
10140844.0,366142.8815704,31.0,1.0,-0.01,-0.04,-3.54,0.24,-0.49
10145460.0,366142.9728664,32.0,1.0,-0.01,-0.04,-3.48,0.18,-0.3
10150072.0,366142.9903584,33.0,1.0,-0.0,-0.04,-3.6,0.24,-0.18
10154668.0,366143.0680284,34.0,1.0,-0.0,-0.04,-3.41,0.43,-0.06
10159280.0,366143.1139335,35.0,1.0,-0.01,-0.04,-3.41,0.12,-0.3
10163892.0,366143.1658292,36.0,1.0,-0.0,-0.04,-3.48,0.43,-0.24
10168512.0,366143.2116799,37.0,1.0,-0.0,-0.04,-3.29,0.12,-0.12
10173116.0,366143.2564526,38.0,1.0,-0.0,-0.04,-3.48,0.12,-0.24
10177736.0,366143.2963356,39.0,1.0,-0.0,-0.04,-3.66,0.06,-0.43
10182328.0,366143.3412344,40.0,1.0,-0.01,-0.04,-3.41,0.12,-0.67
10186948.0,366143.3834194,41.0,1.0,-0.01,-0.03,-3.72,0.06,-0.43
10191552.0,366143.4260445,42.0,1.01,-0.01,-0.04,-3.54,0.24,-0.49
10196176.0,366143.4670609,43.0,1.0,-0.0,-0.04,-3.48,0.37,-0.24
10200792.0,366143.5128991,44.0,1.0,-0.01,-0.03,-3.41,-0.24,-0.18
10205412.0,366143.5527368,45.0,1.0,-0.0,-0.04,-3.29,0.06,-0.43
10210004.0,366143.6005614,46.0,1.0,-0.01,-0.04,-3.48,0.55,-0.49
10214624.0,366143.6415817,47.0,1.0,-0.01,-0.05,-3.6,0.18,-0.24
10219240.0,366143.6888069,48.0,1.0,-0.0,-0.04,-3.41,0.12,-0.3
10223852.0,366143.7315993,49.0,1.0,-0.0,-0.04,-3.48,0.3,-0.43
10228448.0,366143.7776434,50.0,1.0,-0.01,-0.04,-3.6,0.06,-0.49
10233056.0,366143.8188272,51.0,1.0,-0.01,-0.04,-3.48,0.24,-0.55
10237664.0,366143.8673929,52.0,1.0,-0.0,-0.04,-3.9,0.55,-0.37
10242276.0,366143.9115583,53.0,1.0,-0.0,-0.04,-3.6,0.12,-0.24
10246868.0,366143.9586272,54.0,1.0,-0.0,-0.04,-3.6,0.18,-0.06
10251468.0,366144.0033979,55.0,1.0,-0.01,-0.04,-3.41,0.12,-0.55
10256092.0,366144.054594,56.0,1.0,-0.0,-0.04,-3.72,0.3,-0.43
10260696.0,366144.1002131,57.0,1.0,-0.0,-0.04,-3.72,0.12,-0.37
10265300.0,366144.1488333,58.0,1.0,-0.0,-0.04,-3.54,0.0,-0.18
10269868.0,366144.1962308,59.0,1.0,-0.0,-0.04,-3.66,-0.12,-0.67
10274472.0,366144.2448153,60.0,1.0,-0.01,-0.04,-3.41,-0.06,-0.37
10279104.0,366144.2921246,61.0,1.0,-0.01,-0.04,-3.54,0.24,-0.37
